date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,1st_dose
01.14.2021,51,5101,BALI,KAB. JEMBRANA,children,1
01.19.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,1
01.21.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,1
01.22.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,3
01.23.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,1
01.24.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,1
01.29.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,481
01.29.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,13
01.29.2021,51,5101,BALI,KAB. JEMBRANA,public servant,1
01.29.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,1
01.31.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,1
02.01.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,377
02.01.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,6
02.02.2021,51,5101,BALI,KAB. JEMBRANA,public servant,1
02.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,287
02.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,6
02.04.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,235
02.04.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,14
02.05.2021,51,5101,BALI,KAB. JEMBRANA,elderly,2
02.05.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,116
02.05.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,1
02.05.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,9
02.05.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,1
02.09.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,42
02.11.2021,51,5101,BALI,KAB. JEMBRANA,elderly,22
02.11.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,34
02.11.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,16
02.12.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
02.13.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,6
02.13.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,1
02.13.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
02.15.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
02.15.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
02.16.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,1
02.16.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
02.17.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
02.18.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,11
02.18.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,2
02.19.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,64
02.19.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,4
02.20.2021,51,5101,BALI,KAB. JEMBRANA,public servant,2
02.20.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,60
02.20.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,3
02.21.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
02.23.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,1
02.23.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,2
02.24.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,16
02.24.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,1
02.25.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,39
02.25.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,8
02.25.2021,51,5101,BALI,KAB. JEMBRANA,public servant,1
02.26.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,2
02.26.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,9
02.27.2021,51,5101,BALI,KAB. JEMBRANA,elderly,1
02.27.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,1
02.27.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,39
02.27.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,12
03.01.2021,51,5101,BALI,KAB. JEMBRANA,elderly,1
03.01.2021,51,5101,BALI,KAB. JEMBRANA,public servant,4
03.01.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,1
03.01.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,382
03.01.2021,51,5101,BALI,KAB. JEMBRANA,public servant,19
03.02.2021,51,5101,BALI,KAB. JEMBRANA,public servant,9
03.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,5
03.02.2021,51,5101,BALI,KAB. JEMBRANA,public servant,4
03.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,413
03.02.2021,51,5101,BALI,KAB. JEMBRANA,public servant,6
03.03.2021,51,5101,BALI,KAB. JEMBRANA,elderly,10
03.03.2021,51,5101,BALI,KAB. JEMBRANA,public servant,13
03.03.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,1
03.03.2021,51,5101,BALI,KAB. JEMBRANA,public servant,3
03.03.2021,51,5101,BALI,KAB. JEMBRANA,public servant,7
03.03.2021,51,5101,BALI,KAB. JEMBRANA,public servant,2
03.03.2021,51,5101,BALI,KAB. JEMBRANA,public servant,3
03.03.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,481
03.03.2021,51,5101,BALI,KAB. JEMBRANA,public servant,4
03.04.2021,51,5101,BALI,KAB. JEMBRANA,public servant,4
03.04.2021,51,5101,BALI,KAB. JEMBRANA,elderly,17
03.04.2021,51,5101,BALI,KAB. JEMBRANA,public servant,11
03.04.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,2
03.04.2021,51,5101,BALI,KAB. JEMBRANA,public servant,4
03.04.2021,51,5101,BALI,KAB. JEMBRANA,public servant,1
03.04.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,498
03.04.2021,51,5101,BALI,KAB. JEMBRANA,public servant,2
03.05.2021,51,5101,BALI,KAB. JEMBRANA,public servant,10
03.05.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
03.05.2021,51,5101,BALI,KAB. JEMBRANA,elderly,5
