date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,1st_dose
24.01.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,7
30.01.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,2
10.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,156
10.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,10
11.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,132
11.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,9
12.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,47
12.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,2
13.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,30
13.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
15.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,80
15.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,2
16.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,69
16.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,17
16.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
17.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,1
18.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,24
18.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,5
22.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,6
22.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
24.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,1
24.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,47
24.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,3
25.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,18
25.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
26.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,1
26.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,4
26.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
27.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,5
27.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
28.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
01.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,1
01.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,10
01.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
02.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,1
02.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
02.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,7
02.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,12
03.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,4
04.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
04.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,1
05.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
05.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
06.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,1
08.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
08.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,1
09.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,1
09.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,13
09.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,3
09.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,3
09.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,40
10.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,1
10.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,1
10.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,36
10.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,19
10.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
11.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
12.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
12.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
13.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
13.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
14.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
15.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,1
15.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,2
15.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,3
16.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
16.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,1
16.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,1
16.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,5
16.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
17.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,3
17.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,3
17.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,13
17.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,3
17.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,7
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,1
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,79
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,12
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,2
19.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,3
19.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,4
19.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
19.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,24
19.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
20.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,1
20.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
21.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,1
22.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
23.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
23.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
24.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,1
24.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,5
24.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
26.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
26.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
26.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,3
26.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
26.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
26.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
27.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,1
27.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
27.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
29.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,4
29.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
29.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,14
30.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,13
30.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
