date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,1st_dose
03.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,5
04.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,6
04.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,151
08.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,16
08.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,166
09.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,9
09.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,192
10.02.2021,94,9401,PAPUA,KAB. MERAUKE,public servant,1
10.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,17
10.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,198
10.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,1
11.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,15
11.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,143
12.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,2
14.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,1
15.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,6
15.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,80
16.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,65
16.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,50
17.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,30
17.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,9
18.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,1
18.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,23
18.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,73
19.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,0
20.02.2021,94,9401,PAPUA,KAB. MERAUKE,public servant,1
20.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,3
20.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,15
22.02.2021,94,9401,PAPUA,KAB. MERAUKE,public servant,1
22.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,19
22.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,63
23.02.2021,94,9401,PAPUA,KAB. MERAUKE,LANSIA,1
23.02.2021,94,9401,PAPUA,KAB. MERAUKE,public servant,1
23.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,25
23.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,20
24.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,27
24.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,12
24.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,0
25.02.2021,94,9401,PAPUA,KAB. MERAUKE,public servant,1
25.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,1
25.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,4
26.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,1
26.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,2
27.02.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,2
28.02.2021,94,9401,PAPUA,KAB. MERAUKE,public servant,0
28.02.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,0
01.03.2021,94,9401,PAPUA,KAB. MERAUKE,public servant,1
01.03.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,5
01.03.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,12
02.03.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,0
02.03.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,3
03.03.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,0
03.03.2021,94,9401,PAPUA,KAB. MERAUKE,healthcare worker,2
04.03.2021,94,9401,PAPUA,KAB. MERAUKE,general and vulnerable,0
