date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,2nd_dose
01.22.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0
01.28.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0
01.29.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0
02.04.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0
02.04.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0
02.05.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0
02.05.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0
02.06.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0
02.08.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0
02.08.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0
02.09.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0
02.09.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0
02.10.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0
02.10.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0
02.11.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,0
02.11.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0
02.11.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0
02.13.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0
02.15.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,1
02.16.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,0
02.16.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0
02.16.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0
02.17.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0
02.17.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0
02.18.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,1
02.18.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,3
02.19.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,169
02.19.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,2
02.20.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,57
02.22.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,110
02.22.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,4
02.23.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,44
02.23.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0
02.24.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,49
02.24.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,1
02.25.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,29
02.25.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,1
02.26.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,4
02.27.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,5
03.01.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,44
03.01.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0
03.02.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,0
03.02.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,70
03.02.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,2
03.03.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,38
03.03.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,1
03.04.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,11
03.05.2021,75,7501,GORONTALO,KAB. BOALEMO,elderly,0
03.05.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,66
03.05.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,2
03.06.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,0
03.06.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,14
03.06.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0
03.07.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0
03.08.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,36
