date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,2nd_dose
14.01.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
22.01.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
28.01.2021,15,1501,JAMBI,KAB. KERINCI,LANSIA,0
29.01.2021,15,1501,JAMBI,KAB. KERINCI,LANSIA,0
02.02.2021,15,1501,JAMBI,KAB. KERINCI,public servant,0
02.02.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
02.02.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
04.02.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
05.02.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
05.02.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
06.02.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
06.02.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,1
08.02.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
08.02.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
09.02.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
09.02.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
10.02.2021,15,1501,JAMBI,KAB. KERINCI,public servant,0
10.02.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
10.02.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
11.02.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
15.02.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
15.02.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
16.02.2021,15,1501,JAMBI,KAB. KERINCI,public servant,0
16.02.2021,15,1501,JAMBI,KAB. KERINCI,public servant,1
16.02.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,1
17.02.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
17.02.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
18.02.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,1
19.02.2021,15,1501,JAMBI,KAB. KERINCI,public servant,0
19.02.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,7
