date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,2nd_dose
24.01.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
30.01.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
10.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
10.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
11.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
11.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
12.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
12.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
13.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
13.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
15.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
15.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
16.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
16.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
16.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
17.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
18.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
18.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
22.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
22.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
24.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
24.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,7
24.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,128
25.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,9
25.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,115
26.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
26.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,2
26.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,44
27.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
27.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,25
28.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,1
01.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
01.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
01.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,67
02.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
02.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
02.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,9
02.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,70
03.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,11
04.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,3
04.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,23
05.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
05.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,3
06.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
08.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,5
08.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,12
09.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
09.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
09.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
09.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,1
09.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
10.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
10.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
10.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,2
10.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,51
10.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
11.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,6
12.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,1
12.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
13.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
13.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,3
14.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,2
15.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,1
15.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
15.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,6
16.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,2
16.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,6
16.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
16.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,23
16.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,1
17.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
17.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,2
17.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
17.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,4
17.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,1
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
19.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
19.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
19.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
