date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,2nd_dose
01.24.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,0
01.27.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,0
01.27.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,0
01.28.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,0
01.28.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,0
01.29.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,0
01.29.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,0
01.30.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,0
01.30.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,0
02.01.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,0
02.01.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,0
02.02.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,0
02.02.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,0
02.03.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,0
02.03.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,0
02.04.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,0
02.05.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,public servant,0
02.05.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,0
02.05.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,0
02.06.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,0
02.08.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,0
02.10.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,3
02.10.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,4
02.11.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,1
02.11.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,34
02.12.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,1
02.12.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,34
02.13.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,1
02.13.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,23
02.14.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,0
02.15.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,0
02.15.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,31
02.15.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,0
02.16.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,0
02.16.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,26
02.17.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,69
02.17.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,4
02.18.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,30
02.18.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,1
02.19.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,elderly,0
02.19.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,25
02.19.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,2
02.20.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,public servant,0
02.20.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,9
02.20.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,0
02.22.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,elderly,0
02.22.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,12
