date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,2nd_dose
01.14.2021,51,5101,BALI,KAB. JEMBRANA,children,1
01.19.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
01.21.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
01.22.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
01.23.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
01.24.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
01.29.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
01.29.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
01.29.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
01.29.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
01.31.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
02.01.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
02.01.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
02.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
02.02.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
02.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
02.04.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
02.04.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,2
02.05.2021,51,5101,BALI,KAB. JEMBRANA,elderly,0
02.05.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
02.05.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
02.05.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
02.05.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
02.05.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
02.09.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
02.11.2021,51,5101,BALI,KAB. JEMBRANA,elderly,0
02.11.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
02.11.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
02.12.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,3
02.13.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,12
02.13.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,1
02.13.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,429
02.15.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,5
02.15.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,372
02.16.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,4
02.16.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,274
02.17.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,1
02.18.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,9
02.18.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,231
02.19.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,3
02.19.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,80
02.20.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
02.20.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
02.20.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,7
02.21.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,1
02.23.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
02.23.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,45
02.24.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
02.24.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,1
02.25.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,13
02.25.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
02.25.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,25
02.26.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
02.26.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,1
02.27.2021,51,5101,BALI,KAB. JEMBRANA,elderly,0
02.27.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,2
02.27.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
02.27.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,8
03.01.2021,51,5101,BALI,KAB. JEMBRANA,elderly,0
03.01.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
03.01.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
03.01.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
03.01.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,1
03.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,2
03.02.2021,51,5101,BALI,KAB. JEMBRANA,public servant,1
03.02.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
03.02.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
03.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,5
