date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,3rd_dose
24.01.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
30.01.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
10.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
10.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
11.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
11.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
12.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
12.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
13.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
13.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
15.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
15.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
16.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
16.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
16.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
17.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
18.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
18.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
22.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
22.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
24.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
24.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
24.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
25.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
25.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,2
26.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
26.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
26.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
27.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
27.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,1
28.02.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
01.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
01.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
01.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,1
02.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
02.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
02.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
02.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,3
03.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
04.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
04.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
05.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
05.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
06.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
08.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
08.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
09.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
09.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
09.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
09.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
09.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
10.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
10.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
10.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
10.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
10.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
11.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
12.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
12.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
13.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
13.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
14.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
15.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
15.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
15.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
16.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
16.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
16.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
16.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
16.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
17.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
17.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
17.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
17.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
17.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
18.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,general and vulnerable,0
19.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
19.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,public servant,0
19.03.2021,82,8201,MALUKU UTARA,KAB. HALMAHERA BARAT,healthcare worker,0
