date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,3rd_dose
14.01.2021,51,5101,BALI,KAB. JEMBRANA,children,0
19.01.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
21.01.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
22.01.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
23.01.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
24.01.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
29.01.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
29.01.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
29.01.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
29.01.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
31.01.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
01.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
01.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
02.02.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
02.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
02.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
04.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
04.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
05.02.2021,51,5101,BALI,KAB. JEMBRANA,elderly,0
05.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
05.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
05.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
05.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
09.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
11.02.2021,51,5101,BALI,KAB. JEMBRANA,elderly,0
11.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
11.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
12.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
13.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
13.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
13.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
15.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
15.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
16.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
16.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
17.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
18.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,2
18.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
19.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
19.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
20.02.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
20.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
20.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
21.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
23.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
23.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
24.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
24.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
25.02.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
25.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
25.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
26.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
26.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
27.02.2021,51,5101,BALI,KAB. JEMBRANA,elderly,0
27.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
27.02.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
27.02.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
01.03.2021,51,5101,BALI,KAB. JEMBRANA,elderly,0
01.03.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
01.03.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
01.03.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
01.03.2021,51,5101,BALI,KAB. JEMBRANA,general and vulnerable,0
02.03.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
02.03.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
02.03.2021,51,5101,BALI,KAB. JEMBRANA,public servant,0
02.03.2021,51,5101,BALI,KAB. JEMBRANA,healthcare worker,0
