date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,3rd_dose
02.05.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
02.10.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
02.10.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,public servant,0
02.10.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
02.11.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
02.11.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
02.11.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
02.12.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
02.12.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
02.12.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
02.12.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
02.14.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
02.15.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
02.15.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
02.16.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
02.16.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
02.17.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
02.17.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
02.18.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
02.18.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
02.19.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
02.19.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
02.20.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
02.22.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
02.22.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
02.22.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
02.23.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
02.24.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
02.24.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,public servant,0
02.24.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
02.25.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
02.25.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
02.25.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
02.26.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
02.26.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
03.01.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0
03.01.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,0
